character_name,traits,category
Yeliz Kuvancı,"['is_female', 'is_actor']",Acting
Peter Gallagher,"['is_male', 'is_actor']",Acting
Lisa Vicari,"['is_female', 'is_actor']",Acting
Sophie Cookson,"['is_female', 'is_actor']",Acting
Tony Shalhoub,"['is_male', 'is_actor']",Acting
Eli Roth,"['is_male', 'is_actor']",Acting
Terry O'Quinn,"['is_male', 'is_actor']",Acting
Jaycee Chan,"['is_male', 'is_actor']",Acting
Tia Carrere,"['is_female', 'is_actor']",Acting
Eddie Izzard,['is_actor'],Acting
Madeline Zima,"['is_female', 'is_actor']",Acting
Tobias Santelmann,"['is_male', 'is_actor']",Acting
Sophia Loren,"['is_female', 'is_actor']",Acting
Dan Fogler,"['is_male', 'is_actor']",Acting
Terry Kinney,"['is_male', 'is_actor']",Acting
Flula Borg,"['is_male', 'is_actor']",Acting
Emilia Fox,"['is_female', 'is_actor']",Acting
Harry Lloyd,"['is_male', 'is_actor']",Acting
Katharine Ross,"['is_female', 'is_actor']",Acting
Portia Doubleday,"['is_female', 'is_actor']",Acting
Anna Torv,"['is_female', 'is_actor']",Acting
Eva De Dominici,"['is_female', 'is_actor']",Acting
Kelly McCormack,"['is_female', 'is_actor']",Acting
Lily Rabe,"['is_female', 'is_actor']",Acting
Elçin Afacan,['is_actor'],Acting
Jay Baruchel,"['is_male', 'is_actor']",Acting
Eduardo Franco,"['is_male', 'is_actor']",Acting
Claudia Harrison,"['is_female', 'is_actor']",Acting
Kevin Feige,"['is_male', 'is_producer']",Production
Colette Giacobine,"['is_female', 'is_actor']",Acting
Katharine Towne,"['is_female', 'is_actor']",Acting
Amber Stevens West,"['is_female', 'is_actor']",Acting
Andrew Wilson,"['is_male', 'is_actor']",Acting
Hugh Grant,"['is_male', 'is_actor']",Acting
Can Yaman,"['is_male', 'is_actor']",Acting
Geraldine Viswanathan,"['is_female', 'is_actor']",Acting
Clive Owen,"['is_male', 'is_actor']",Acting
Iko Uwais,"['is_male', 'is_actor']",Acting
Naomie Harris,"['is_female', 'is_actor']",Acting
Kim Roi-ha,"['is_male', 'is_actor']",Acting
Sanaa Lathan,"['is_female', 'is_actor']",Acting
Victoria Justice,"['is_female', 'is_actor']",Acting
Eamonn Walker,"['is_male', 'is_actor']",Acting
Alex Høgh Andersen,"['is_male', 'is_actor']",Acting
Yoo Yeon-seok,"['is_male', 'is_actor']",Acting
Madeline Carroll,"['is_female', 'is_actor']",Acting
Alp Navruz,"['is_male', 'is_actor']",Acting
